(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Other payables _x000D_,,
- Credit card payments _x000D_, 2.15 _x000D_, 2.29 _x000D_
- GST Payable _x000D_," 1,406.78 _x000D_", 48.79 _x000D_
- Provident Fund Payable _x000D_, 5.77 _x000D_, 2.21 _x000D_
- ESIC Payable _x000D_, 0.42 _x000D_, 0.08 _x000D_
- Professional Tax payable _x000D_, 0.25 _x000D_, 0.11 _x000D_
- TDS payable _x000D_, 16.53 _x000D_, 5.13 _x000D_
-Corporate NPS payable _x000D_, 0.80 _x000D_, 0.05 _x000D_
Advance From Customers _x000D_, 521.89 _x000D_," 1,408.20 _x000D_"
Salary and Bonus Payable _x000D_, 56.48 _x000D_, 51.59 _x000D_
Total _x000D_," 2,011.08 _x000D_"," 1,518.45 _x000D_"
