(₹ in lakhs) _x000D_,Unnamed: 1,Unnamed: 2
Particulars _x000D_,31 March 2025 _x000D_,31 March 2024 _x000D_
Deferred Tax Asset _x000D_,,
Expenses provided but allowable in Income tax on Payment basis _x000D_, 6.07 _x000D_, 7.25 _x000D_
Provision for doubtful debts _x000D_, 13.06 _x000D_,
Difference between book depreciation and tax depreciation _x000D_, 3.26 _x000D_,
Gross Deferred Tax Asset (A) _x000D_, 22.39 _x000D_, 7.25 _x000D_
Deferred Tax Liability _x000D_,,
Difference between book depreciation and tax depreciation _x000D_,-   _x000D_, 21.60 _x000D_
Gross Deferred Tax Liability (B) _x000D_,-   _x000D_, 21.60 _x000D_
Net Deferred Tax Asset (A)-(B) _x000D_, 22.39 _x000D_, (14.35) _x000D_
